#  n_B[fm^{-3}] 	 P[dyn/cm^2] 	 rho[g/cm^3] 
  6.606E-12 	   1.150E+19 	   1.097E+04
  6.723E-12 	   1.184E+19 	   1.116E+04
  6.842E-12 	   1.219E+19 	   1.136E+04
  6.963E-12 	   1.256E+19 	   1.156E+04
  7.086E-12 	   1.293E+19 	   1.176E+04
  7.211E-12 	   1.332E+19 	   1.197E+04
  7.339E-12 	   1.372E+19 	   1.218E+04
  7.469E-12 	   1.413E+19 	   1.240E+04
  7.601E-12 	   1.455E+19 	   1.262E+04
  7.736E-12 	   1.499E+19 	   1.284E+04
  7.873E-12 	   1.544E+19 	   1.307E+04
  8.012E-12 	   1.591E+19 	   1.330E+04
  8.154E-12 	   1.639E+19 	   1.354E+04
  8.299E-12 	   1.688E+19 	   1.378E+04
  8.446E-12 	   1.739E+19 	   1.402E+04
  8.595E-12 	   1.792E+19 	   1.427E+04
  8.747E-12 	   1.846E+19 	   1.452E+04
  8.902E-12 	   1.902E+19 	   1.478E+04
  9.060E-12 	   1.960E+19 	   1.504E+04
  9.220E-12 	   2.020E+19 	   1.531E+04
  9.383E-12 	   2.081E+19 	   1.558E+04
  9.550E-12 	   2.145E+19 	   1.585E+04
  9.719E-12 	   2.210E+19 	   1.613E+04
  9.891E-12 	   2.277E+19 	   1.642E+04
  1.007E-11 	   2.347E+19 	   1.671E+04
  1.024E-11 	   2.418E+19 	   1.701E+04
  1.043E-11 	   2.492E+19 	   1.731E+04
  1.061E-11 	   2.569E+19 	   1.761E+04
  1.080E-11 	   2.647E+19 	   1.792E+04
  1.099E-11 	   2.728E+19 	   1.824E+04
  1.118E-11 	   2.812E+19 	   1.857E+04
  1.138E-11 	   2.898E+19 	   1.889E+04
  1.158E-11 	   2.987E+19 	   1.923E+04
  1.179E-11 	   3.079E+19 	   1.957E+04
  1.200E-11 	   3.174E+19 	   1.992E+04
  1.221E-11 	   3.271E+19 	   2.027E+04
  1.243E-11 	   3.372E+19 	   2.063E+04
  1.265E-11 	   3.476E+19 	   2.099E+04
  1.287E-11 	   3.583E+19 	   2.136E+04
  1.310E-11 	   3.693E+19 	   2.174E+04
  1.333E-11 	   3.807E+19 	   2.213E+04
  1.357E-11 	   3.924E+19 	   2.252E+04
  1.381E-11 	   4.046E+19 	   2.292E+04
  1.405E-11 	   4.170E+19 	   2.332E+04
  1.430E-11 	   4.299E+19 	   2.374E+04
  1.455E-11 	   4.432E+19 	   2.416E+04
  1.481E-11 	   4.569E+19 	   2.458E+04
  1.507E-11 	   4.710E+19 	   2.502E+04
  1.534E-11 	   4.856E+19 	   2.546E+04
  1.561E-11 	   5.006E+19 	   2.591E+04
  1.589E-11 	   5.161E+19 	   2.637E+04
  1.617E-11 	   5.320E+19 	   2.684E+04
  1.645E-11 	   5.485E+19 	   2.731E+04
  1.675E-11 	   5.655E+19 	   2.780E+04
  1.704E-11 	   5.830E+19 	   2.829E+04
  1.734E-11 	   6.010E+19 	   2.879E+04
  1.765E-11 	   6.196E+19 	   2.930E+04
  1.796E-11 	   6.388E+19 	   2.982E+04
  1.828E-11 	   6.586E+19 	   3.035E+04
  1.861E-11 	   6.790E+19 	   3.089E+04
  1.894E-11 	   7.000E+19 	   3.143E+04
  1.927E-11 	   7.217E+19 	   3.199E+04
  1.961E-11 	   7.441E+19 	   3.256E+04
  1.996E-11 	   7.671E+19 	   3.313E+04
  2.031E-11 	   7.909E+19 	   3.372E+04
  2.067E-11 	   8.154E+19 	   3.432E+04
  2.104E-11 	   8.406E+19 	   3.492E+04
  2.141E-11 	   8.667E+19 	   3.554E+04
  2.179E-11 	   8.935E+19 	   3.617E+04
  2.218E-11 	   9.212E+19 	   3.681E+04
  2.257E-11 	   9.497E+19 	   3.746E+04
  2.297E-11 	   9.791E+19 	   3.813E+04
  2.337E-11 	   1.009E+20 	   3.880E+04
  2.379E-11 	   1.041E+20 	   3.949E+04
  2.421E-11 	   1.073E+20 	   4.019E+04
  2.464E-11 	   1.106E+20 	   4.090E+04
  2.507E-11 	   1.140E+20 	   4.162E+04
  2.552E-11 	   1.176E+20 	   4.236E+04
  2.597E-11 	   1.212E+20 	   4.311E+04
  2.643E-11 	   1.250E+20 	   4.387E+04
  2.690E-11 	   1.288E+20 	   4.465E+04
  2.737E-11 	   1.328E+20 	   4.544E+04
  2.786E-11 	   1.369E+20 	   4.625E+04
  2.835E-11 	   1.411E+20 	   4.707E+04
  2.885E-11 	   1.455E+20 	   4.790E+04
  2.937E-11 	   1.500E+20 	   4.875E+04
  2.989E-11 	   1.546E+20 	   4.961E+04
  3.041E-11 	   1.594E+20 	   5.049E+04
  3.095E-11 	   1.643E+20 	   5.138E+04
  3.150E-11 	   1.694E+20 	   5.229E+04
  3.206E-11 	   1.746E+20 	   5.322E+04
  3.263E-11 	   1.800E+20 	   5.416E+04
  3.320E-11 	   1.856E+20 	   5.512E+04
  3.379E-11 	   1.913E+20 	   5.610E+04
  3.439E-11 	   1.972E+20 	   5.709E+04
  3.500E-11 	   2.033E+20 	   5.810E+04
  3.562E-11 	   2.095E+20 	   5.913E+04
  3.625E-11 	   2.160E+20 	   6.018E+04
  3.689E-11 	   2.226E+20 	   6.124E+04
  3.755E-11 	   2.295E+20 	   6.233E+04
  3.821E-11 	   2.365E+20 	   6.343E+04
  3.889E-11 	   2.438E+20 	   6.455E+04
  3.958E-11 	   2.513E+20 	   6.569E+04
  4.028E-11 	   2.590E+20 	   6.686E+04
  4.099E-11 	   2.669E+20 	   6.804E+04
  4.171E-11 	   2.751E+20 	   6.925E+04
  4.245E-11 	   2.836E+20 	   7.047E+04
  4.321E-11 	   2.923E+20 	   7.172E+04
  4.397E-11 	   3.012E+20 	   7.299E+04
  4.475E-11 	   3.104E+20 	   7.428E+04
  4.554E-11 	   3.199E+20 	   7.560E+04
  4.635E-11 	   3.297E+20 	   7.694E+04
  4.717E-11 	   3.398E+20 	   7.830E+04
  4.800E-11 	   3.502E+20 	   7.969E+04
  4.885E-11 	   3.609E+20 	   8.110E+04
  4.972E-11 	   3.719E+20 	   8.253E+04
  5.060E-11 	   3.833E+20 	   8.399E+04
  5.149E-11 	   3.950E+20 	   8.548E+04
  5.241E-11 	   4.071E+20 	   8.700E+04
  5.333E-11 	   4.195E+20 	   8.854E+04
  5.428E-11 	   4.322E+20 	   9.010E+04
  5.524E-11 	   4.454E+20 	   9.170E+04
  5.622E-11 	   4.590E+20 	   9.332E+04
  5.721E-11 	   4.729E+20 	   9.497E+04
  5.823E-11 	   4.873E+20 	   9.666E+04
  5.926E-11 	   5.021E+20 	   9.837E+04
  6.031E-11 	   5.174E+20 	   1.001E+05
  6.137E-11 	   5.331E+20 	   1.019E+05
  6.246E-11 	   5.493E+20 	   1.037E+05
  6.357E-11 	   5.659E+20 	   1.055E+05
  6.469E-11 	   5.831E+20 	   1.074E+05
  6.584E-11 	   6.007E+20 	   1.093E+05
  6.700E-11 	   6.189E+20 	   1.112E+05
  6.819E-11 	   6.376E+20 	   1.132E+05
  6.940E-11 	   6.569E+20 	   1.152E+05
  7.063E-11 	   6.768E+20 	   1.172E+05
  7.188E-11 	   6.972E+20 	   1.193E+05
  7.315E-11 	   7.183E+20 	   1.214E+05
  7.445E-11 	   7.399E+20 	   1.236E+05
  7.576E-11 	   7.622E+20 	   1.258E+05
  7.711E-11 	   7.852E+20 	   1.280E+05
  7.847E-11 	   8.088E+20 	   1.303E+05
  7.986E-11 	   8.332E+20 	   1.326E+05
  8.127E-11 	   8.583E+20 	   1.349E+05
  8.271E-11 	   8.841E+20 	   1.373E+05
  8.418E-11 	   9.106E+20 	   1.397E+05
  8.567E-11 	   9.380E+20 	   1.422E+05
  8.718E-11 	   9.661E+20 	   1.447E+05
  8.873E-11 	   9.951E+20 	   1.473E+05
  9.030E-11 	   1.025E+21 	   1.499E+05
  9.190E-11 	   1.056E+21 	   1.526E+05
  9.353E-11 	   1.087E+21 	   1.553E+05
  9.518E-11 	   1.120E+21 	   1.580E+05
  9.687E-11 	   1.153E+21 	   1.608E+05
  9.858E-11 	   1.188E+21 	   1.636E+05
  1.003E-10 	   1.223E+21 	   1.665E+05
  1.021E-10 	   1.260E+21 	   1.695E+05
  1.039E-10 	   1.297E+21 	   1.725E+05
  1.058E-10 	   1.336E+21 	   1.756E+05
  1.076E-10 	   1.376E+21 	   1.787E+05
  1.095E-10 	   1.416E+21 	   1.818E+05
  1.115E-10 	   1.459E+21 	   1.850E+05
  1.134E-10 	   1.502E+21 	   1.883E+05
  1.155E-10 	   1.547E+21 	   1.917E+05
  1.175E-10 	   1.592E+21 	   1.950E+05
  1.196E-10 	   1.640E+21 	   1.985E+05
  1.217E-10 	   1.688E+21 	   2.020E+05
  1.238E-10 	   1.738E+21 	   2.056E+05
  1.260E-10 	   1.790E+21 	   2.092E+05
  1.283E-10 	   1.843E+21 	   2.129E+05
  1.305E-10 	   1.897E+21 	   2.167E+05
  1.329E-10 	   1.953E+21 	   2.205E+05
  1.352E-10 	   2.011E+21 	   2.244E+05
  1.376E-10 	   2.070E+21 	   2.284E+05
  1.400E-10 	   2.131E+21 	   2.325E+05
  1.425E-10 	   2.194E+21 	   2.366E+05
  1.450E-10 	   2.259E+21 	   2.408E+05
  1.476E-10 	   2.325E+21 	   2.450E+05
  1.502E-10 	   2.393E+21 	   2.494E+05
  1.529E-10 	   2.464E+21 	   2.538E+05
  1.556E-10 	   2.536E+21 	   2.583E+05
  1.583E-10 	   2.611E+21 	   2.629E+05
  1.612E-10 	   2.687E+21 	   2.675E+05
  1.640E-10 	   2.766E+21 	   2.723E+05
  1.669E-10 	   2.847E+21 	   2.771E+05
  1.699E-10 	   2.930E+21 	   2.820E+05
  1.729E-10 	   3.016E+21 	   2.870E+05
  1.759E-10 	   3.104E+21 	   2.921E+05
  1.790E-10 	   3.195E+21 	   2.972E+05
  1.822E-10 	   3.288E+21 	   3.025E+05
  1.854E-10 	   3.384E+21 	   3.078E+05
  1.887E-10 	   3.482E+21 	   3.133E+05
  1.921E-10 	   3.584E+21 	   3.188E+05
  1.955E-10 	   3.688E+21 	   3.245E+05
  1.989E-10 	   3.795E+21 	   3.302E+05
  2.025E-10 	   3.906E+21 	   3.361E+05
  2.060E-10 	   4.019E+21 	   3.420E+05
  2.097E-10 	   4.136E+21 	   3.481E+05
  2.134E-10 	   4.256E+21 	   3.542E+05
  2.172E-10 	   4.379E+21 	   3.605E+05
  2.210E-10 	   4.506E+21 	   3.669E+05
  2.249E-10 	   4.636E+21 	   3.734E+05
  2.289E-10 	   4.770E+21 	   3.800E+05
  2.330E-10 	   4.908E+21 	   3.867E+05
  2.371E-10 	   5.050E+21 	   3.936E+05
  2.413E-10 	   5.196E+21 	   4.006E+05
  2.456E-10 	   5.345E+21 	   4.077E+05
  2.499E-10 	   5.499E+21 	   4.149E+05
  2.543E-10 	   5.658E+21 	   4.222E+05
  2.588E-10 	   5.821E+21 	   4.297E+05
  2.634E-10 	   5.988E+21 	   4.373E+05
  2.681E-10 	   6.160E+21 	   4.450E+05
  2.728E-10 	   6.337E+21 	   4.529E+05
  2.777E-10 	   6.519E+21 	   4.609E+05
  2.826E-10 	   6.706E+21 	   4.691E+05
  2.876E-10 	   6.898E+21 	   4.774E+05
  2.927E-10 	   7.096E+21 	   4.859E+05
  2.979E-10 	   7.299E+21 	   4.945E+05
  3.031E-10 	   7.508E+21 	   5.032E+05
  3.085E-10 	   7.722E+21 	   5.121E+05
  3.140E-10 	   7.943E+21 	   5.212E+05
  3.195E-10 	   8.169E+21 	   5.304E+05
  3.252E-10 	   8.402E+21 	   5.398E+05
  3.309E-10 	   8.642E+21 	   5.494E+05
  3.368E-10 	   8.888E+21 	   5.591E+05
  3.428E-10 	   9.141E+21 	   5.690E+05
  3.488E-10 	   9.401E+21 	   5.791E+05
  3.550E-10 	   9.668E+21 	   5.893E+05
  3.613E-10 	   9.943E+21 	   5.998E+05
  3.677E-10 	   1.022E+22 	   6.104E+05
  3.742E-10 	   1.051E+22 	   6.212E+05
  3.808E-10 	   1.081E+22 	   6.322E+05
  3.876E-10 	   1.112E+22 	   6.434E+05
  3.944E-10 	   1.143E+22 	   6.548E+05
  4.014E-10 	   1.176E+22 	   6.664E+05
  4.085E-10 	   1.209E+22 	   6.782E+05
  4.158E-10 	   1.243E+22 	   6.902E+05
  4.231E-10 	   1.278E+22 	   7.024E+05
  4.306E-10 	   1.314E+22 	   7.149E+05
  4.382E-10 	   1.351E+22 	   7.275E+05
  4.460E-10 	   1.389E+22 	   7.404E+05
  4.539E-10 	   1.428E+22 	   7.535E+05
  4.619E-10 	   1.469E+22 	   7.668E+05
  4.701E-10 	   1.510E+22 	   7.804E+05
  4.784E-10 	   1.552E+22 	   7.942E+05
  4.869E-10 	   1.596E+22 	   8.083E+05
  4.955E-10 	   1.641E+22 	   8.226E+05
  5.043E-10 	   1.687E+22 	   8.372E+05
  5.132E-10 	   1.734E+22 	   8.520E+05
  5.223E-10 	   1.782E+22 	   8.671E+05
  5.316E-10 	   1.832E+22 	   8.824E+05
  5.410E-10 	   1.884E+22 	   8.981E+05
  5.506E-10 	   1.936E+22 	   9.140E+05
  5.603E-10 	   1.990E+22 	   9.302E+05
  5.702E-10 	   2.046E+22 	   9.466E+05
  5.803E-10 	   2.103E+22 	   9.634E+05
  5.906E-10 	   2.161E+22 	   9.804E+05
  6.011E-10 	   2.222E+22 	   9.978E+05
  6.117E-10 	   2.283E+22 	   1.015E+06
  6.225E-10 	   2.347E+22 	   1.033E+06
  6.336E-10 	   2.412E+22 	   1.052E+06
  6.448E-10 	   2.479E+22 	   1.070E+06
  6.562E-10 	   2.548E+22 	   1.089E+06
  6.678E-10 	   2.618E+22 	   1.109E+06
  6.796E-10 	   2.691E+22 	   1.128E+06
  6.917E-10 	   2.765E+22 	   1.148E+06
  7.039E-10 	   2.842E+22 	   1.169E+06
  7.164E-10 	   2.921E+22 	   1.189E+06
  7.291E-10 	   3.001E+22 	   1.210E+06
  7.420E-10 	   3.084E+22 	   1.232E+06
  7.551E-10 	   3.169E+22 	   1.254E+06
  7.685E-10 	   3.257E+22 	   1.276E+06
  7.821E-10 	   3.346E+22 	   1.298E+06
  7.959E-10 	   3.439E+22 	   1.321E+06
  8.100E-10 	   3.533E+22 	   1.345E+06
  8.244E-10 	   3.630E+22 	   1.369E+06
  8.390E-10 	   3.730E+22 	   1.393E+06
  8.538E-10 	   3.833E+22 	   1.417E+06
  8.690E-10 	   3.938E+22 	   1.443E+06
  8.843E-10 	   4.046E+22 	   1.468E+06
  9.000E-10 	   4.157E+22 	   1.494E+06
  9.159E-10 	   4.271E+22 	   1.521E+06
  9.321E-10 	   4.388E+22 	   1.547E+06
  9.487E-10 	   4.508E+22 	   1.575E+06
  9.654E-10 	   4.631E+22 	   1.603E+06
  9.825E-10 	   4.758E+22 	   1.631E+06
  9.999E-10 	   4.887E+22 	   1.660E+06
  1.018E-09 	   5.021E+22 	   1.689E+06
  1.036E-09 	   5.158E+22 	   1.719E+06
  1.054E-09 	   5.298E+22 	   1.750E+06
  1.073E-09 	   5.443E+22 	   1.781E+06
  1.092E-09 	   5.591E+22 	   1.812E+06
  1.111E-09 	   5.743E+22 	   1.844E+06
  1.131E-09 	   5.899E+22 	   1.877E+06
  1.151E-09 	   6.059E+22 	   1.910E+06
  1.171E-09 	   6.224E+22 	   1.944E+06
  1.192E-09 	   6.392E+22 	   1.978E+06
  1.213E-09 	   6.566E+22 	   2.014E+06
  1.234E-09 	   6.744E+22 	   2.049E+06
  1.256E-09 	   6.926E+22 	   2.085E+06
  1.278E-09 	   7.114E+22 	   2.122E+06
  1.301E-09 	   7.306E+22 	   2.160E+06
  1.324E-09 	   7.503E+22 	   2.198E+06
  1.348E-09 	   7.706E+22 	   2.237E+06
  1.371E-09 	   7.914E+22 	   2.277E+06
  1.396E-09 	   8.128E+22 	   2.317E+06
  1.420E-09 	   8.347E+22 	   2.358E+06
  1.446E-09 	   8.571E+22 	   2.400E+06
  1.471E-09 	   8.802E+22 	   2.442E+06
  1.497E-09 	   9.039E+22 	   2.486E+06
  1.524E-09 	   9.282E+22 	   2.530E+06
  1.551E-09 	   9.532E+22 	   2.574E+06
  1.578E-09 	   9.787E+22 	   2.620E+06
  1.606E-09 	   1.005E+23 	   2.666E+06
  1.635E-09 	   1.032E+23 	   2.714E+06
  1.664E-09 	   1.060E+23 	   2.762E+06
  1.693E-09 	   1.088E+23 	   2.811E+06
  1.723E-09 	   1.117E+23 	   2.860E+06
  1.753E-09 	   1.147E+23 	   2.911E+06
  1.784E-09 	   1.178E+23 	   2.962E+06
  1.816E-09 	   1.209E+23 	   3.015E+06
  1.848E-09 	   1.241E+23 	   3.068E+06
  1.881E-09 	   1.275E+23 	   3.123E+06
  1.914E-09 	   1.309E+23 	   3.178E+06
  1.948E-09 	   1.343E+23 	   3.234E+06
  1.983E-09 	   1.379E+23 	   3.291E+06
  2.018E-09 	   1.416E+23 	   3.350E+06
  2.053E-09 	   1.454E+23 	   3.409E+06
  2.090E-09 	   1.492E+23 	   3.469E+06
  2.127E-09 	   1.532E+23 	   3.531E+06
  2.165E-09 	   1.573E+23 	   3.593E+06
  2.203E-09 	   1.614E+23 	   3.657E+06
  2.242E-09 	   1.657E+23 	   3.722E+06
  2.282E-09 	   1.701E+23 	   3.788E+06
  2.322E-09 	   1.746E+23 	   3.855E+06
  2.363E-09 	   1.792E+23 	   3.923E+06
  2.405E-09 	   1.840E+23 	   3.992E+06
  2.447E-09 	   1.888E+23 	   4.063E+06
  2.491E-09 	   1.938E+23 	   4.135E+06
  2.535E-09 	   1.990E+23 	   4.208E+06
  2.580E-09 	   2.042E+23 	   4.283E+06
  2.625E-09 	   2.096E+23 	   4.359E+06
  2.672E-09 	   2.151E+23 	   4.436E+06
  2.719E-09 	   2.208E+23 	   4.514E+06
  2.767E-09 	   2.266E+23 	   4.594E+06
  2.816E-09 	   2.326E+23 	   4.676E+06
  2.866E-09 	   2.387E+23 	   4.758E+06
  2.917E-09 	   2.450E+23 	   4.843E+06
  2.969E-09 	   2.514E+23 	   4.928E+06
  3.021E-09 	   2.580E+23 	   5.016E+06
  3.075E-09 	   2.648E+23 	   5.105E+06
  3.129E-09 	   2.717E+23 	   5.195E+06
  3.185E-09 	   2.788E+23 	   5.287E+06
  3.241E-09 	   2.861E+23 	   5.381E+06
  3.298E-09 	   2.936E+23 	   5.476E+06
  3.357E-09 	   3.013E+23 	   5.573E+06
  3.416E-09 	   3.092E+23 	   5.671E+06
  3.477E-09 	   3.173E+23 	   5.772E+06
  3.538E-09 	   3.255E+23 	   5.874E+06
  3.601E-09 	   3.340E+23 	   5.978E+06
  3.665E-09 	   3.428E+23 	   6.084E+06
  3.729E-09 	   3.517E+23 	   6.192E+06
  3.796E-09 	   3.609E+23 	   6.301E+06
  3.863E-09 	   3.702E+23 	   6.413E+06
  3.931E-09 	   3.799E+23 	   6.526E+06
  4.001E-09 	   3.898E+23 	   6.642E+06
  4.072E-09 	   3.999E+23 	   6.760E+06
  4.144E-09 	   4.103E+23 	   6.879E+06
  4.217E-09 	   4.209E+23 	   7.001E+06
  4.292E-09 	   4.319E+23 	   7.125E+06
  4.368E-09 	   4.431E+23 	   7.251E+06
  4.445E-09 	   4.546E+23 	   7.380E+06
  4.524E-09 	   4.663E+23 	   7.510E+06
  4.604E-09 	   4.784E+23 	   7.643E+06
  4.685E-09 	   4.908E+23 	   7.779E+06
  4.768E-09 	   5.035E+23 	   7.916E+06
  4.853E-09 	   5.165E+23 	   8.056E+06
  4.939E-09 	   5.299E+23 	   8.199E+06
  5.026E-09 	   5.435E+23 	   8.344E+06
  5.115E-09 	   5.576E+23 	   8.492E+06
  5.206E-09 	   5.719E+23 	   8.642E+06
  5.298E-09 	   5.867E+23 	   8.795E+06
  5.392E-09 	   6.018E+23 	   8.951E+06
  5.487E-09 	   6.173E+23 	   9.110E+06
  5.584E-09 	   6.332E+23 	   9.271E+06
  5.683E-09 	   6.495E+23 	   9.435E+06
  5.784E-09 	   6.662E+23 	   9.602E+06
  5.886E-09 	   6.833E+23 	   9.772E+06
  5.990E-09 	   7.008E+23 	   9.945E+06
  6.096E-09 	   7.188E+23 	   1.012E+07
  6.204E-09 	   7.373E+23 	   1.030E+07
  6.314E-09 	   7.562E+23 	   1.048E+07
  6.426E-09 	   7.756E+23 	   1.067E+07
  6.540E-09 	   7.954E+23 	   1.086E+07
  6.655E-09 	   8.158E+23 	   1.105E+07
  6.773E-09 	   8.367E+23 	   1.125E+07
  6.893E-09 	   8.581E+23 	   1.144E+07
  7.015E-09 	   8.800E+23 	   1.165E+07
  7.139E-09 	   9.025E+23 	   1.185E+07
  7.266E-09 	   9.255E+23 	   1.206E+07
  7.395E-09 	   9.491E+23 	   1.228E+07
  7.525E-09 	   9.733E+23 	   1.249E+07
  7.659E-09 	   9.981E+23 	   1.272E+07
  7.794E-09 	   1.024E+24 	   1.294E+07
  7.932E-09 	   1.050E+24 	   1.317E+07
  8.073E-09 	   1.076E+24 	   1.340E+07
  8.216E-09 	   1.104E+24 	   1.364E+07
  8.361E-09 	   1.132E+24 	   1.388E+07
  8.509E-09 	   1.161E+24 	   1.413E+07
  8.660E-09 	   1.190E+24 	   1.438E+07
  8.813E-09 	   1.220E+24 	   1.463E+07
  8.969E-09 	   1.251E+24 	   1.489E+07
  9.128E-09 	   1.283E+24 	   1.516E+07
  9.290E-09 	   1.315E+24 	   1.542E+07
  9.454E-09 	   1.349E+24 	   1.570E+07
  9.621E-09 	   1.383E+24 	   1.597E+07
  9.792E-09 	   1.418E+24 	   1.626E+07
  9.965E-09 	   1.454E+24 	   1.655E+07
  1.014E-08 	   1.491E+24 	   1.684E+07
  1.032E-08 	   1.528E+24 	   1.714E+07
  1.050E-08 	   1.567E+24 	   1.744E+07
  1.069E-08 	   1.606E+24 	   1.775E+07
  1.088E-08 	   1.647E+24 	   1.806E+07
  1.107E-08 	   1.688E+24 	   1.838E+07
  1.127E-08 	   1.731E+24 	   1.871E+07
  1.147E-08 	   1.775E+24 	   1.904E+07
  1.167E-08 	   1.819E+24 	   1.938E+07
  1.188E-08 	   1.865E+24 	   1.972E+07
  1.209E-08 	   1.912E+24 	   2.007E+07
  1.230E-08 	   1.960E+24 	   2.042E+07
  1.252E-08 	   2.009E+24 	   2.079E+07
  1.274E-08 	   2.060E+24 	   2.115E+07
  1.297E-08 	   2.112E+24 	   2.153E+07
  1.320E-08 	   2.165E+24 	   2.191E+07
  1.343E-08 	   2.219E+24 	   2.230E+07
  1.367E-08 	   2.274E+24 	   2.269E+07
  1.391E-08 	   2.331E+24 	   2.309E+07
  1.416E-08 	   2.390E+24 	   2.350E+07
  1.441E-08 	   2.450E+24 	   2.392E+07
  1.466E-08 	   2.511E+24 	   2.434E+07
  1.492E-08 	   2.574E+24 	   2.477E+07
  1.518E-08 	   2.638E+24 	   2.521E+07
  1.545E-08 	   2.704E+24 	   2.566E+07
  1.573E-08 	   2.772E+24 	   2.611E+07
  1.601E-08 	   2.841E+24 	   2.658E+07
  1.629E-08 	   2.912E+24 	   2.705E+07
  1.658E-08 	   2.984E+24 	   2.753E+07
  1.687E-08 	   3.059E+24 	   2.801E+07
  1.717E-08 	   3.135E+24 	   2.851E+07
  1.747E-08 	   3.213E+24 	   2.901E+07
  1.778E-08 	   3.293E+24 	   2.953E+07
  1.810E-08 	   3.375E+24 	   3.005E+07
  1.842E-08 	   3.459E+24 	   3.058E+07
  1.874E-08 	   3.545E+24 	   3.112E+07
  1.908E-08 	   3.633E+24 	   3.167E+07
  1.941E-08 	   3.723E+24 	   3.224E+07
  1.976E-08 	   3.815E+24 	   3.281E+07
  2.011E-08 	   3.910E+24 	   3.339E+07
  2.046E-08 	   4.007E+24 	   3.398E+07
  2.083E-08 	   4.106E+24 	   3.458E+07
  2.119E-08 	   4.208E+24 	   3.519E+07
  2.157E-08 	   4.312E+24 	   3.582E+07
  2.195E-08 	   4.419E+24 	   3.645E+07
  2.234E-08 	   4.528E+24 	   3.710E+07
  2.274E-08 	   4.640E+24 	   3.775E+07
  2.314E-08 	   4.755E+24 	   3.842E+07
  2.355E-08 	   4.873E+24 	   3.910E+07
  2.396E-08 	   4.993E+24 	   3.979E+07
  2.439E-08 	   5.116E+24 	   4.050E+07
  2.482E-08 	   5.243E+24 	   4.121E+07
  2.526E-08 	   5.372E+24 	   4.194E+07
  2.571E-08 	   5.504E+24 	   4.269E+07
  2.616E-08 	   5.640E+24 	   4.344E+07
  2.663E-08 	   5.779E+24 	   4.421E+07
  2.710E-08 	   5.921E+24 	   4.500E+07
  2.758E-08 	   6.067E+24 	   4.579E+07
  2.807E-08 	   6.216E+24 	   4.660E+07
  2.856E-08 	   6.369E+24 	   4.743E+07
  2.907E-08 	   6.526E+24 	   4.827E+07
  2.958E-08 	   6.686E+24 	   4.912E+07
  3.011E-08 	   6.850E+24 	   4.999E+07
  3.064E-08 	   7.018E+24 	   5.088E+07
  3.118E-08 	   7.191E+24 	   5.178E+07
  3.173E-08 	   7.367E+24 	   5.270E+07
  3.230E-08 	   7.548E+24 	   5.363E+07
  3.287E-08 	   7.733E+24 	   5.458E+07
  3.345E-08 	   7.922E+24 	   5.554E+07
  3.404E-08 	   8.116E+24 	   5.653E+07
  3.464E-08 	   8.315E+24 	   5.753E+07
  3.526E-08 	   8.518E+24 	   5.855E+07
  3.588E-08 	   8.726E+24 	   5.958E+07
  3.652E-08 	   8.940E+24 	   6.064E+07
  3.716E-08 	   9.158E+24 	   6.171E+07
  3.782E-08 	   9.382E+24 	   6.281E+07
  3.849E-08 	   9.611E+24 	   6.392E+07
  3.917E-08 	   9.846E+24 	   6.505E+07
  3.987E-08 	   1.009E+25 	   6.620E+07
  4.057E-08 	   1.033E+25 	   6.737E+07
  4.129E-08 	   1.058E+25 	   6.857E+07
  4.202E-08 	   1.084E+25 	   6.978E+07
  4.276E-08 	   1.111E+25 	   7.102E+07
  4.352E-08 	   1.138E+25 	   7.227E+07
  4.429E-08 	   1.165E+25 	   7.355E+07
  4.508E-08 	   1.194E+25 	   7.486E+07
  4.587E-08 	   1.223E+25 	   7.618E+07
  4.669E-08 	   1.252E+25 	   7.753E+07
  4.751E-08 	   1.283E+25 	   7.890E+07
  4.835E-08 	   1.314E+25 	   8.030E+07
  4.921E-08 	   1.346E+25 	   8.172E+07
  5.008E-08 	   1.379E+25 	   8.317E+07
  5.097E-08 	   1.412E+25 	   8.464E+07
  5.187E-08 	   1.446E+25 	   8.614E+07
  5.279E-08 	   1.481E+25 	   8.767E+07
  5.372E-08 	   1.517E+25 	   8.922E+07
  5.467E-08 	   1.554E+25 	   9.080E+07
  5.564E-08 	   1.592E+25 	   9.241E+07
  5.663E-08 	   1.630E+25 	   9.404E+07
  5.763E-08 	   1.669E+25 	   9.571E+07
  5.865E-08 	   1.710E+25 	   9.740E+07
  5.969E-08 	   1.751E+25 	   9.913E+07
  6.075E-08 	   1.793E+25 	   1.009E+08
  6.182E-08 	   1.837E+25 	   1.027E+08
  6.292E-08 	   1.881E+25 	   1.045E+08
  6.403E-08 	   1.927E+25 	   1.063E+08
  6.516E-08 	   1.973E+25 	   1.082E+08
  6.632E-08 	   2.021E+25 	   1.101E+08
  6.749E-08 	   2.069E+25 	   1.121E+08
  6.869E-08 	   2.119E+25 	   1.141E+08
  6.990E-08 	   2.170E+25 	   1.161E+08
  7.114E-08 	   2.223E+25 	   1.181E+08
  7.240E-08 	   2.276E+25 	   1.202E+08
  7.368E-08 	   2.331E+25 	   1.224E+08
  7.498E-08 	   2.387E+25 	   1.245E+08
  7.631E-08 	   2.444E+25 	   1.267E+08
  7.766E-08 	   2.503E+25 	   1.290E+08
  7.904E-08 	   2.563E+25 	   1.313E+08
