#  n_B[fm^{-3}] 	 P[dyn/cm^2] 	 rho[g/cm^3] 
  5.038E-15 	   2.927E+15 	   8.363E+00
  5.127E-15 	   2.979E+15 	   8.511E+00
  5.218E-15 	   3.032E+15 	   8.661E+00
  5.310E-15 	   3.085E+15 	   8.815E+00
  5.404E-15 	   3.140E+15 	   8.971E+00
  5.500E-15 	   3.195E+15 	   9.130E+00
  5.597E-15 	   3.252E+15 	   9.291E+00
  5.696E-15 	   3.310E+15 	   9.456E+00
  5.797E-15 	   3.368E+15 	   9.623E+00
  5.900E-15 	   3.428E+15 	   9.794E+00
  6.004E-15 	   3.489E+15 	   9.967E+00
  6.111E-15 	   3.550E+15 	   1.014E+01
  6.219E-15 	   3.613E+15 	   1.032E+01
  6.329E-15 	   3.677E+15 	   1.051E+01
  6.441E-15 	   3.742E+15 	   1.069E+01
  6.555E-15 	   3.809E+15 	   1.088E+01
  6.671E-15 	   3.876E+15 	   1.107E+01
  6.789E-15 	   3.945E+15 	   1.127E+01
  6.909E-15 	   4.014E+15 	   1.147E+01
  7.032E-15 	   4.086E+15 	   1.167E+01
  7.156E-15 	   4.158E+15 	   1.188E+01
  7.283E-15 	   4.232E+15 	   1.209E+01
  7.412E-15 	   4.306E+15 	   1.230E+01
  7.543E-15 	   4.383E+15 	   1.252E+01
  7.677E-15 	   4.460E+15 	   1.274E+01
  7.813E-15 	   4.539E+15 	   1.297E+01
  7.951E-15 	   4.620E+15 	   1.320E+01
  8.092E-15 	   4.701E+15 	   1.343E+01
  8.235E-15 	   4.785E+15 	   1.367E+01
  8.381E-15 	   4.869E+15 	   1.391E+01
  8.529E-15 	   4.956E+15 	   1.416E+01
  8.680E-15 	   5.043E+15 	   1.441E+01
  8.834E-15 	   5.133E+15 	   1.466E+01
  8.991E-15 	   5.224E+15 	   1.492E+01
  9.150E-15 	   5.316E+15 	   1.519E+01
  9.312E-15 	   5.410E+15 	   1.546E+01
  9.477E-15 	   5.506E+15 	   1.573E+01
  9.644E-15 	   5.604E+15 	   1.601E+01
  9.815E-15 	   5.703E+15 	   1.629E+01
  9.989E-15 	   5.804E+15 	   1.658E+01
  1.017E-14 	   5.907E+15 	   1.688E+01
  1.035E-14 	   6.011E+15 	   1.717E+01
  1.053E-14 	   6.118E+15 	   1.748E+01
  1.072E-14 	   6.226E+15 	   1.779E+01
  1.091E-14 	   6.336E+15 	   1.810E+01
  1.110E-14 	   6.448E+15 	   1.842E+01
  1.129E-14 	   6.563E+15 	   1.875E+01
  1.149E-14 	   6.679E+15 	   1.908E+01
  1.170E-14 	   6.797E+15 	   1.942E+01
  1.191E-14 	   6.918E+15 	   1.976E+01
  1.212E-14 	   7.040E+15 	   2.011E+01
  1.233E-14 	   7.165E+15 	   2.047E+01
  1.255E-14 	   7.292E+15 	   2.083E+01
  1.277E-14 	   7.421E+15 	   2.120E+01
  1.300E-14 	   7.552E+15 	   2.158E+01
  1.323E-14 	   7.686E+15 	   2.196E+01
  1.346E-14 	   7.822E+15 	   2.235E+01
  1.370E-14 	   7.961E+15 	   2.274E+01
  1.394E-14 	   8.102E+15 	   2.315E+01
  1.419E-14 	   8.245E+15 	   2.355E+01
  1.444E-14 	   8.391E+15 	   2.397E+01
  1.470E-14 	   8.540E+15 	   2.440E+01
  1.496E-14 	   8.691E+15 	   2.483E+01
  1.522E-14 	   8.845E+15 	   2.527E+01
  1.549E-14 	   9.002E+15 	   2.572E+01
  1.577E-14 	   9.161E+15 	   2.617E+01
  1.604E-14 	   9.323E+15 	   2.663E+01
  1.633E-14 	   9.489E+15 	   2.711E+01
  1.662E-14 	   9.657E+15 	   2.759E+01
  1.691E-14 	   9.828E+15 	   2.807E+01
  1.721E-14 	   1.000E+16 	   2.857E+01
  1.752E-14 	   1.018E+16 	   2.908E+01
  1.783E-14 	   1.036E+16 	   2.959E+01
  1.814E-14 	   1.054E+16 	   3.012E+01
  1.846E-14 	   1.073E+16 	   3.065E+01
  1.879E-14 	   1.092E+16 	   3.119E+01
  1.912E-14 	   1.111E+16 	   3.174E+01
  1.946E-14 	   1.131E+16 	   3.231E+01
  1.981E-14 	   1.151E+16 	   3.288E+01
  2.016E-14 	   1.171E+16 	   3.346E+01
  2.051E-14 	   1.192E+16 	   3.405E+01
  2.088E-14 	   1.213E+16 	   3.466E+01
  2.125E-14 	   1.235E+16 	   3.527E+01
  2.162E-14 	   1.257E+16 	   3.589E+01
  2.201E-14 	   1.279E+16 	   3.653E+01
  2.240E-14 	   1.302E+16 	   3.718E+01
  2.279E-14 	   1.325E+16 	   3.784E+01
  2.320E-14 	   1.348E+16 	   3.850E+01
  2.361E-14 	   1.372E+16 	   3.919E+01
  2.402E-14 	   1.396E+16 	   3.988E+01
  2.445E-14 	   1.421E+16 	   4.059E+01
  2.488E-14 	   1.446E+16 	   4.131E+01
  2.532E-14 	   1.472E+16 	   4.204E+01
  2.577E-14 	   1.498E+16 	   4.278E+01
  2.623E-14 	   1.525E+16 	   4.354E+01
  2.669E-14 	   1.552E+16 	   4.431E+01
  2.717E-14 	   1.579E+16 	   4.509E+01
  2.765E-14 	   1.607E+16 	   4.589E+01
  2.814E-14 	   1.636E+16 	   4.671E+01
  2.863E-14 	   1.665E+16 	   4.753E+01
  2.914E-14 	   1.694E+16 	   4.837E+01
  2.966E-14 	   1.724E+16 	   4.923E+01
  3.018E-14 	   1.755E+16 	   5.010E+01
  3.072E-14 	   1.786E+16 	   5.099E+01
  3.126E-14 	   1.817E+16 	   5.189E+01
  3.181E-14 	   1.850E+16 	   5.281E+01
  3.238E-14 	   1.882E+16 	   5.375E+01
  3.295E-14 	   1.916E+16 	   5.470E+01
  3.353E-14 	   1.950E+16 	   5.567E+01
  3.413E-14 	   1.984E+16 	   5.665E+01
  3.473E-14 	   2.020E+16 	   5.766E+01
  3.535E-14 	   2.055E+16 	   5.868E+01
  3.597E-14 	   2.092E+16 	   5.972E+01
  3.661E-14 	   2.129E+16 	   6.077E+01
  3.726E-14 	   2.167E+16 	   6.185E+01
  3.792E-14 	   2.205E+16 	   6.294E+01
  3.859E-14 	   2.244E+16 	   6.406E+01
  3.927E-14 	   2.284E+16 	   6.519E+01
  3.997E-14 	   2.325E+16 	   6.635E+01
  4.068E-14 	   2.366E+16 	   6.752E+01
  4.140E-14 	   2.408E+16 	   6.872E+01
  4.213E-14 	   2.451E+16 	   6.993E+01
  4.287E-14 	   2.494E+16 	   7.117E+01
  4.363E-14 	   2.539E+16 	   7.243E+01
  4.441E-14 	   2.584E+16 	   7.372E+01
  4.519E-14 	   2.630E+16 	   7.502E+01
  4.599E-14 	   2.676E+16 	   7.635E+01
  4.681E-14 	   2.724E+16 	   7.770E+01
  4.764E-14 	   2.772E+16 	   7.908E+01
  4.848E-14 	   2.821E+16 	   8.048E+01
  4.934E-14 	   2.872E+16 	   8.190E+01
  5.021E-14 	   2.923E+16 	   8.335E+01
  5.110E-14 	   2.974E+16 	   8.483E+01
  5.201E-14 	   3.027E+16 	   8.633E+01
  5.293E-14 	   3.081E+16 	   8.786E+01
  5.386E-14 	   3.136E+16 	   8.941E+01
  5.482E-14 	   3.192E+16 	   9.100E+01
  5.579E-14 	   3.248E+16 	   9.261E+01
  5.678E-14 	   3.306E+16 	   9.425E+01
  5.778E-14 	   3.365E+16 	   9.592E+01
  5.880E-14 	   3.425E+16 	   9.762E+01
  5.985E-14 	   3.486E+16 	   9.934E+01
  6.091E-14 	   3.548E+16 	   1.011E+02
  6.198E-14 	   3.611E+16 	   1.029E+02
  6.308E-14 	   3.675E+16 	   1.047E+02
  6.420E-14 	   3.741E+16 	   1.066E+02
  6.534E-14 	   3.807E+16 	   1.085E+02
  6.649E-14 	   3.875E+16 	   1.104E+02
