Mass (M_sun)) 	 Radius (km) 
0.1699389280101678	19.95779570770781
0.17317115176183248	19.572712877178496
0.1764914626556652	19.208140478984642
0.1799014400573417	18.863497833015174
0.18340268459900586	18.536253472599544
0.18699680977134048	18.225219168393778
0.1906854373158356	17.931264241221676
0.19447022472247386	17.651369588209782
0.19835287901068696	17.385552736771608
0.20233642313910674	17.132345173153404
0.20642765114299608	16.891269245274067
0.2106340460908155	16.661486571856095
0.2149625981252821	16.442630087925135
0.21941988468276005	16.232580717726638
0.22401213538172593	16.033214752289418
0.2287452816582404	15.841282408591221
0.23362499796877145	15.658279446633903
0.23865673122307884	15.483348885728441
0.24384572807980567	15.315568537883582
0.24919705328064704	15.155443463163682
0.2547156053702948	15.002503448760564
0.26040612921711465	14.856559866469706
0.2662732276955928	14.717338876303613
0.272321366036675	14.584242870826637
0.27855488134464523	14.457247427880356
0.284977984558365	14.336210774045329
0.29159476426656683	14.220328645840537
0.29840918977614544	14.110500116375043
0.3054251108423335	14.006293978312646
0.3126462578441336	13.906288985798572
0.32007624199860235	13.812285067739095
0.32771855234874214	13.722264846614479
0.3355765552245531	13.63722606906202
0.3436534899899748	13.557327746076025
0.3519524659191837	13.480533615196357
0.3604764734830236	13.408229542963136
0.36922836646005996	13.340430277055127
0.37821084642281433	13.275024917542455
0.38742646543079945	13.214509035864523
0.39687763552654476	13.156547800538258
0.4065666386025925	13.102579787657383
0.4164955564193113	13.051638331795964
0.4266663100155199	13.004444121108396
0.4370806924991555	12.959582646356038
0.4477402564912432	12.917523012007152
0.45864642277729456	12.878299564885426
0.46980039158259157	12.841317112162342
0.48120317653428524	12.807417624831135
0.4928555882138689	12.775064878712833
0.5047582357765775	12.745633583284725
0.5169114860526629	12.718414028539062
0.5293155293600962	12.69264991892994
0.5419702761370103	12.669291184601063
0.5548754345670868	12.648252663986561
0.5680304752106062	12.628280477677112
0.5814346096830075	12.609465014232878
0.595086791782715	12.593211291118754
0.6089857329389906	12.57743009068898
0.623129879233532	12.563542345519517
0.6375174099848923	12.550522908502757
0.6521462320754601	12.539577679521122
0.6670139777947162	12.529413038136784
0.6821180009318663	12.52025712024151
0.6974553734040622	12.511665157071716
0.7130228819807273	12.504582832534933
0.7288170238747151	12.498640634226984
0.7448340146371789	12.492662853232883
0.761069783116354	12.48820596244804
0.7775199541661755	12.484153679404937
0.7941798626722042	12.480704586622805
0.8110445752883464	12.478218900976596
0.8281088343888731	12.475238781560668
0.8453671317452092	12.473263955133767
0.8628136378428108	12.47171453512952
0.880442271554477	12.470434581918303
0.8982466501488533	12.469001376246196
0.9162201227915048	12.469225496119707
0.9343557729421034	12.468248008728626
0.9526464161842474	12.468285873705426
0.9710846056164879	12.46758241473607
0.9896626426875822	12.467403352151853
1.0083725850339496	12.46721134175338
1.0272062532154984	12.466522716393303
1.0461552393600746	12.466578535139101
1.0652109166860466	12.466550382825721
1.0843644460480393	12.465677176599455
1.1036067865488843	12.465547238475338
1.122928713959587	12.464386587771621
1.1423208267739111	12.463258243272398
1.1617735491343182	12.462685664282022
1.1812771644369355	12.461194854347383
1.2008218047098778	12.45925310775574
1.2203974795458812	12.457219910424039
1.2399940868402692	12.455253173680662
1.2596014211202144	12.451664933701213
1.2792091904242076	12.449213176318443
1.2988070340671594	12.445123211038268
1.31838453421982	12.440691718370168
1.3379312300874664	12.436464110430547
1.3574366379378715	12.431439917088085
1.3768902613114125	12.426225605739013
1.39628160537525	12.420248562526002
1.4156001947918022	12.41329105584465
1.4348355948898959	12.406288557192758
1.4539774114822028	12.398662725976589
1.473015323754263	12.390459223446792
1.491939086417234	12.381712766087874
1.5107385491786425	12.372261415261702
1.5294036729039746	12.36234628650466
1.5479245427081716	12.352284661765163
1.5662913799364615	12.34070022880036
1.5844945580037366	12.328490358577756
1.602524616433955	12.316554999031258
1.6203722713119328	12.303528179599775
1.6380284318183258	12.28944095777339
1.6554842078868908	12.275618620551166
1.6727309248318707	12.261217023862926
1.6897601321268276	12.245227149493516
1.7065636185882898	12.228731619159122
1.7231334152696542	12.212236920403559
1.7394618113561684	12.19427192871927
1.7555413589945703	12.176311440864222
1.7713648746269306	12.158211358864955
1.7869245206391926	12.138617167635177
1.8022108073724366	12.118151811606714
1.8172143079465395	12.098218812974187
1.8319260249342582	12.077288535084822
1.846337451744833	12.055239934225217
1.860440597570546	12.032588376767492
1.8742280076465323	12.009558318031198
1.8876927705159097	11.986317895192355
1.9008285213448626	11.961694018542962
1.9136294407669991	11.937278839094889
1.9260902519723557	11.91130439348354
1.9382062151635504	11.885304952913957
1.9499731184275995	11.859281402257206
1.9600691034464006	11.834155165594725
1.9619573902165588	11.816314957559069
1.962645168177056	11.792572534406592
1.9626518826886081	11.765555445427948
1.9621921942554126	11.735579376877768
1.961409023011682	11.702608555435138
1.9603976732916601	11.668276872329534
1.9592102270479566	11.631653397236029
1.9579549801636402	11.593241009296884
1.9565782062362191	11.553253193947986
1.955153614693436	11.512222295975668
1.9537112800549805	11.46925282978891
1.9522642184802503	11.425410462828248
1.9508518111306286	11.38125176335461
1.9494484135482488	11.335208833286508
1.948079001844451	11.28920966279022
1.946734219579451	11.241476477271318
1.9454711556568829	11.193444577934066
1.944273947350603	11.146213672705532
1.9430808135706952	11.097234448600242
1.9419226018156568	11.048255009126919
1.9408760397655878	10.998694161398191
1.9398685657837866	10.949243398728871
1.9388418785924435	10.899281931189334
1.9378845880457771	10.849338912251318
1.9369444053530172	10.799341864884017
1.9360501549000448	10.749350012962543
1.935141985012181	10.699308146587185
