Mass (M_sun)) 	 Radius (km) 	 Dimensionless Tidal Deformability 
0.16994576337218398	19.95804446710238	3019582.7587511833
0.17317811714551823	19.57298959354052	2649507.269932885
0.17649856168412867	19.208522613606146	2326803.8565198146
0.17990867618175227	18.86327042376707	2045149.9739722311
0.18341006163599763	18.536001346107522	1798939.42398273
0.18700433125208804	18.225612631463957	1583492.4262466275
0.1906931073022336	17.930958115292217	1394860.4272562265
0.19447804679484554	17.65112603383274	1229490.626331514
0.19836085737897993	17.385230817163567	1084407.897631299
0.20234456157862907	17.132350362261473	956995.9613755466
0.2064359542128754	16.891455632973447	844914.505315316
0.2106425183848292	16.661701440827546	746154.7862060163
0.21497124441526452	16.442303197875642	659033.3625949743
0.21942871038305695	16.232780778046155	582154.928083976
0.2240211457719365	16.032449366305418	514281.95902557153
0.22875448245004731	15.840874972992452	454313.0357344447
0.23363439498763253	15.6577794587348	401306.3920467948
0.2386663306744413	15.482660266330674	354482.0482326955
0.24385553621790385	15.315216848190014	313112.6306942652
0.2492070766969155	15.155166321719843	276553.36035193206
0.2547258507513766	15.00225067888556	244286.50822188935
0.2604166035232933	14.856167197529539	215781.18121986187
0.2662839379381236	14.71666720630793	190612.00031019413
0.2723323195939819	14.583546947295725	168394.1201944848
0.2785660856066944	14.456598411073271	148777.64155011726
0.2849894471895337	14.335557534113729	131475.63511589202
0.2916064930474518	14.220229052077427	116209.24595040221
0.2984211926391352	14.110296526585651	102745.15514917542
0.30543739590534164	14.005839195498467	90862.76956167033
0.3126588333661648	13.906464327246738	80378.03880935525
0.320089116385421	13.812087338214418	71130.2403711382
0.32773173411052586	13.72240939686505	62974.97082066917
0.3355900530941413	13.637345405892331	55780.74315480522
0.34366731271348533	13.556716734877682	49430.87723185131
0.3519666224678255	13.48033635611583	43824.575786488014
0.3604909729088009	13.408076727578008	38878.416777866696
0.36924321782068875	13.339884617493707	34509.68248530571
0.378226059147568	13.275175669603986	30650.862742556783
0.38744204878997857	13.21431448125379	27240.319444464276
0.39689359905758637	13.15691193103735	24227.069545444596
0.40658299176272755	13.102874349573261	21561.47541929769
0.4165123090537298	13.0520266400281	19203.24298478373
0.42668347165268333	13.004274941561738	17115.923052691727
0.4370982731985658	12.959517302701077	15266.124788247318
0.44775826584751155	12.917506257955095	13628.158012888662
0.4586648707519376	12.87823187924544	12174.86171849443
0.469819288141685	12.841521486137982	10886.09562726103
0.48122253198713055	12.807329284345439	9741.297563402763
0.49287541220109465	12.775449311122635	8724.094114617901
0.504778538657532	12.745806816028203	7820.033363211941
0.5169322776969917	12.718316735785042	7015.409182485627
0.5293368197747053	12.692848147063371	6299.149236292348
0.5419920758357002	12.66932233343138	5660.697207059602
0.5548977534012073	12.647623206877613	5091.472109083174
0.5680533229346545	12.627684885713482	4583.2677660827585
0.5814579965137915	12.609367555594853	4129.680666555651
0.5951107276868108	12.592592471173703	3724.060822341302
0.6090102278548108	12.577309209458491	3361.1699173424972
0.6231549435207125	12.563416218444614	3036.3892816797093
0.6375430530656683	12.550836011571018	2745.3009091273784
0.652172463348974	12.539479801084982	2484.217975651726
0.6670408069546034	12.529285781723921	2249.8603788406076
0.6821454374931135	12.520114821192267	2039.5129819121182
0.6974834273551958	12.512011119507667	1850.1449161179262
0.7130515616964652	12.504801805931807	1680.026905716487
0.7288463392720956	12.498435300023813	1526.7517711190915
0.7448639740568125	12.492964423376419	1388.5282823158743
0.7611003955298863	12.48814659089309	1263.9559616308572
0.7775512281645356	12.484066095321728	1151.3655856596808
0.7942118065170674	12.480547289242288	1049.8432831704304
0.8110771972799752	12.477570725426757	957.9685446468434
0.8281421434424987	12.475145386802348	874.7592301706599
0.8454011350935899	12.473155818233332	799.4906967119687
0.8628483425317446	12.471542236911933	731.2944719138153
0.8804776852986641	12.470277657559194	669.3892653197112
0.8982827802046807	12.469318048332111	613.2277652124599
0.9162569754380411	12.468609430076235	562.1873252912156
0.9343933554425956	12.468124371788	515.7317699348922
0.9526847340610108	12.467710104533946	473.5634779739068
0.971123665214169	12.467493287916268	435.1219143871256
0.9897024495598438	12.467267861086052	400.1129155410979
1.0084131447391966	12.467095864831077	368.1936878263946
1.0272475703951298	12.467008292189728	339.0210511436547
1.0461973185643176	12.466699716028387	312.44407072623466
1.065253762418533	12.46636854759895	288.1329121235209
1.084408062577253	12.466000993303112	265.8924258553814
1.1036511763885983	12.465420985080833	245.5495085922415
1.1229738811239174	12.464644366408919	226.91736621569933
1.1423667743386345	12.463679709758217	209.84815221415457
1.1618202784808944	12.462494507402198	194.19141232332882
1.1813246787353722	12.461083919470791	179.81281086834872
1.2008701052719486	12.459213942887448	166.63431896402423
1.220446567627551	12.45713495998635	154.50397267150223
1.2400439630146602	12.454661711346462	143.37259331872255
1.2596520859221758	12.451825931915272	133.1223885808379
1.2792606439862932	12.448569558172723	123.68626928286305
1.298859275643374	12.444935800673223	114.99276193519982
1.3184375629633196	12.44085426364321	106.97774130538694
1.3379850460311957	12.436320247960227	99.58786679992677
1.3574912380479796	12.43130941272669	92.766675688119
1.376945643743601	12.42578794970187	86.46688860690132
1.396337767991652	12.419763411940476	80.6456912116335
1.4156571341627135	12.413169157621617	75.26750272687174
1.4348933081409072	12.40617222027421	70.28031487450156
1.4540358941694391	12.398492783813678	65.67515247240323
1.4730745723196907	12.390314462925419	61.40619682553599
1.4919990965157992	12.381536474707847	57.4490549994381
1.5107993154033155	12.37219603262667	53.779780192919425
1.5294651904657286	12.362237090821342	50.37608189479224
1.5479868046797818	12.351698422186068	47.21569452080386
