Mass (M_sun)) 	 Radius (km) 
0.08712588985618233	19.318188356156107
0.0886905320019243	17.986546841736384
0.09047183767856516	16.795729832649652
0.0925074021985465	15.734750690650602
0.09469094246146888	14.787536973211926
0.09717167714679908	13.949265220855574
0.09983430856183342	13.201722749791662
0.10272704450802463	12.537320486583686
0.10591481544695594	11.953354931350447
0.10927255145804546	11.427534308329397
0.11287591815069765	10.961254871051688
0.11671026685452417	10.544277655153953
0.1207754168821222	10.170566825804308
0.1250954708859312	9.838295796133133
0.12970989053634974	9.545510652962475
0.1345370789017087	9.28033875874539
0.13961799068655173	9.041244040372776
0.14496124467322502	8.82827664585595
0.15057654631630454	8.637226304481434
0.1564592221238143	8.465560964127004
0.1626574274001357	8.315487237495441
0.16910701739568992	8.177453472038536
0.17587337283238452	8.057319099750593
0.18290563608375893	7.94639949004739
0.19027178560853403	7.850573053444264
0.19792660495485823	7.764262249259142
0.2059192749245402	7.688391207839039
0.21422072685361893	7.620563768040819
0.2228506729822638	7.5612582894999765
0.23182554254760138	7.50866385793824
0.2411825122979546	7.4675539155004795
0.25083915199013057	7.428563879767472
0.26087603159861833	7.396667474452102
0.2712902673137189	7.372314887764375
0.2820350008455625	7.349208291797484
0.29316542180701644	7.331239131786809
0.3046718035215931	7.317668105951522
0.3166197144317422	7.313235755815272
0.3289111731588652	7.3082291214791395
0.3416140235146371	7.308222191047234
0.3546881988409579	7.308571080793679
0.3681705835679084	7.313209210043454
0.3820922183921647	7.322544401020825
0.3963953249161633	7.333209942975009
0.41110890679629497	7.345372665302112
0.4262402185613259	7.360421636448854
0.4417684140560807	7.37671804545353
0.4577308352042237	7.397236075127626
0.4740799341027736	7.417195633814006
0.4908507276555104	7.439287751415644
0.5080245252612908	7.463303712505589
0.5256156625500241	7.489444080862204
0.5435937701171704	7.5157017497395575
0.5619522975241401	7.542308100549584
0.5807344136947509	7.572381916844844
0.5998859247510813	7.602270519778024
0.6193996217248576	7.6322101761099965
0.6393073829451514	7.663579847444203
0.659552244301255	7.695236191060941
0.6801683087459712	7.728689777919896
0.7011072067695175	7.761230112653213
0.7223867280667974	7.795273304833155
0.7439625027222252	7.827700952675242
0.7658542737027565	7.86228102491244
0.7880454770726497	7.8975349553580365
0.8104849914800724	7.931261018022189
0.8331873384596252	7.965495381076544
0.8561366933184293	8.000378231557335
0.8792840217774617	8.03411431201245
0.9026500206971253	8.069211827981587
0.9261965298122983	8.10423170846892
0.9498975355421561	8.138276428657543
0.9737197469288202	8.171238643269165
0.9976758630544341	8.205240002194358
1.0217016151138354	8.236585785863676
1.0458251894982842	8.270306229979482
1.069966735570965	8.301300980767873
1.0941628394370098	8.334267811332285
1.1183393166415034	8.364277525534781
1.1424861016087342	8.393710629452256
1.1665961313448154	8.423295060044902
1.1906269486377055	8.451592438081077
1.2145872863721858	8.481405003919527
1.2383913373753999	8.507271166876455
1.2620761883919922	8.533495278357565
1.2856027751629748	8.560226624931573
1.3089349717208965	8.58522104679619
1.3320592715926414	8.609286355482729
1.3549479004819196	8.632255287829448
1.3775706790027902	8.652545525390352
1.3999420725777552	8.674283520450903
1.4220094499109837	8.693366289876653
1.4437828974369353	8.71427162113001
1.4652003265229512	8.731135446695133
1.486295666161203	8.749278525863721
1.5070131766992523	8.765311563393553
1.5273517062919753	8.780372442821466
1.5472961414490967	8.794339300110789
1.5668184672033563	8.806212683994385
1.5859260978724523	8.817278144398472
1.6046065093000554	8.82924114214674
1.6228400117861874	8.839239792081091
1.6406070624031945	8.847363195559076
1.657910608070878	8.854567819489487
1.6747329900232883	8.861301686102308
1.6910765712628877	8.866264665772608
1.7069322927788704	8.870499600724683
1.7222927596103568	8.874273158497239
1.737155685878261	8.876687490654218
1.7515080431400998	8.877737046272383
1.7653566680980382	8.878278050049367
1.778697787618493	8.878259640162902
1.7915317361681815	8.87728727315799
1.8038502503128793	8.874570586041354
1.8156541274597002	8.87136344346838
1.8269448947294238	8.866273396890714
1.8377345861490133	8.86133450468088
1.8480162445397768	8.855386350921146
1.8577851063057471	8.846534950604838
1.8670710917296491	8.840354751824007
1.875843540037483	8.83027291411717
